datacenter_id;datacenter_storage_energy;storage_id;system;storage_capacity;capacity_used;inactive_duration;idle_intervals;total_energy_active;total_energy_idle;average_rotation_latency;average_seek_Time;max_internal_data_transfer_rate;idle_power;active_power;
3;73600.48252767278;51;storage;900000.0;55808.0;297.4327598941789;1.0000060828975:;1725.1100073862376;3.0000182486925;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;52;storage;900000.0;32768.0;165.55456393104282;1.000006091444027:;960.2164708000483;3.000018274332081;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;53;storage;900000.0;18432.0;93.14244877283512;1.0000062316821552:;540.2262028824438;3.0000186950464656;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;54;storage;900000.0;17408.0;87.97767814534943;1.0000064603063206:;510.27053324302665;3.0000193809189617;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;55;storage;900000.0;24576.0;139.70502583920756;1.0000064617659508:;810.2891498674037;3.0000193852978523;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;56;storage;900000.0;25088.0;126.75779267658697;1.0000066017794793:;735.1951975242046;3.0000198053384377;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;57;storage;900000.0;16896.0;90.56839087328525;1.000006645801008:;525.2966670650544;3.0000199374030236;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;58;storage;900000.0;30720.0;155.2093743926606;1.0000068194352991:;900.2143714774315;3.0000204583058974;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;59;storage;900000.0;22528.0;113.84389555019929;1.0000070937348837:;660.2945941911559;3.000021281204651;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;60;storage;900000.0;25088.0;126.75399906808869;1.0000071778103947:;735.1731945949145;3.000021533431184;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;61;storage;900000.0;21504.0;108.65615903912112;1.0000072318345328:;630.2057224269024;3.000021695503598;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;62;storage;900000.0;15872.0;80.22124892797176;1.0000072840041725:;465.28324378223624;3.0000218520125177;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;63;storage;900000.0;26112.0;131.93530391942926;1.000007351763959:;765.2247627326896;3.000022055291877;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;64;storage;900000.0;14336.0;72.4577032814861;1.0000074013103761:;420.2546790326194;3.0000222039311284;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;65;storage;900000.0;22016.0;111.2470665726277;1.0000075125827095:;645.2329861212405;3.000022537748128;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;66;storage;900000.0;17408.0;98.32603791063846;1.0000078153353102:;570.291019881703;3.0000234460059305;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;67;storage;900000.0;23552.0;119.00696169463461;1.0000078185175425:;690.2403778288808;3.0000234555526273;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;68;storage;900000.0;13824.0;69.8783304506426;1.000007819029673:;405.294316613727;3.000023457089019;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;69;storage;900000.0;32768.0;165.5532284461091;1.0000081956423184:;960.2087249874326;3.000024586926955;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;70;storage;900000.0;25600.0;129.35712552877243;1.0000082398897703:;750.2713280668801;3.0000247196693106;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;71;storage;900000.0;14336.0;72.46024767239841;1.000008657084412:;420.26943649991074;3.000025971253236;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;72;storage;900000.0;26624.0;134.51820916637098;1.0000093043487848:;780.2056131649517;3.0000279130463543;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;73;storage;900000.0;28672.0;144.87761831194794;1.000009367389393:;840.2901862092979;3.000028102168179;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;74;storage;900000.0;18944.0;95.73733413957608;1.0000096154397469:;555.2765380095412;3.000028846319241;0.003;0.004;198.0;3.0;5.8;
