datacenter_name;host_id;type;number_of_pes;available_pes;mips;available_mips;ram;available_ram;bw;available_bw;power_model;vms;
Datacenter_1;32;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;33;host;4;2;40000;21000;160000;628;10000;9683;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,191:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;34;host;4;2;40000;21000;160000;628;10000;9868;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,6:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;35;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;36;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;37;host;4;2;40000;21000;160000;628;10000;9868;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,6:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;38;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;39;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;40;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;41;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
